Title,Price,Rating,Colors,Size,Gender,timestamp
T-shirt 2,1634400.0,3.9,3,M,Women,2026-03-14 00:25:34.506905
Hoodie 3,7950080.0,4.8,3,L,Unisex,2026-03-14 00:25:34.507227
Pants 4,7476960.0,3.3,3,XL,Men,2026-03-14 00:25:34.507516
Outerwear 5,5145440.0,3.5,3,XXL,Women,2026-03-14 00:25:34.507769
Jacket 6,2453920.0,3.3,3,S,Unisex,2026-03-14 00:25:34.508041
Crewneck 7,6892000.0,4.3,3,M,Men,2026-03-14 00:25:34.508311
T-shirt 8,7802560.0,3.1,3,L,Women,2026-03-14 00:25:34.508615
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2026-03-14 00:25:34.508873
Pants 10,3100160.0,4.2,3,XXL,Men,2026-03-14 00:25:34.509163
Jacket 12,8527840.0,3.9,3,M,Unisex,2026-03-14 00:25:34.509676
Crewneck 13,5447200.0,3.2,3,L,Men,2026-03-14 00:25:34.509961
T-shirt 14,3248800.0,3.8,3,XL,Women,2026-03-14 00:25:34.510273
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2026-03-14 00:25:34.510543
Outerwear 17,841600.0,3.8,3,M,Women,2026-03-14 00:25:34.511071
Jacket 18,5500000.0,3.8,3,L,Unisex,2026-03-14 00:25:34.511306
Crewneck 19,1308960.0,3.6,3,XL,Men,2026-03-14 00:25:34.511607
T-shirt 20,1325600.0,3.4,3,XXL,Women,2026-03-14 00:25:34.511869
Pants 22,4319680.0,4.9,3,M,Men,2026-03-14 00:25:36.804113
Outerwear 23,4655840.0,3.7,3,L,Women,2026-03-14 00:25:36.804190
Jacket 24,8223520.0,3.9,3,XL,Unisex,2026-03-14 00:25:36.804265
Crewneck 25,8322559.999999999,3.3,3,XXL,Men,2026-03-14 00:25:36.804338
T-shirt 26,7292320.0,4.6,3,S,Women,2026-03-14 00:25:36.804420
Hoodie 27,3551840.0,4.8,3,M,Unisex,2026-03-14 00:25:36.804498
Pants 28,5216160.0,4.0,3,L,Men,2026-03-14 00:25:36.804572
Outerwear 29,861600.0,3.1,3,XL,Women,2026-03-14 00:25:36.804652
Jacket 30,8610240.0,3.7,3,XXL,Unisex,2026-03-14 00:25:36.804724
T-shirt 32,6657920.0,3.4,3,M,Women,2026-03-14 00:25:36.804873
Hoodie 33,7248160.0,3.5,3,L,Unisex,2026-03-14 00:25:36.804946
Pants 34,8362719.999999999,3.8,3,XL,Men,2026-03-14 00:25:36.805027
Outerwear 35,1356160.0,3.8,3,XXL,Women,2026-03-14 00:25:36.805101
Jacket 36,7249280.0,3.7,3,S,Unisex,2026-03-14 00:25:36.805179
Crewneck 37,6006080.0,4.0,3,M,Men,2026-03-14 00:25:36.805252
T-shirt 38,4866080.0,3.2,3,L,Women,2026-03-14 00:25:36.805324
Hoodie 39,6431200.0,4.6,3,XL,Unisex,2026-03-14 00:25:36.805396
Pants 40,5853600.0,3.1,3,XXL,Men,2026-03-14 00:25:36.805468
Jacket 42,6744160.0,3.7,3,M,Unisex,2026-03-14 00:25:39.053533
Crewneck 43,2909600.0,4.5,3,L,Men,2026-03-14 00:25:39.053634
T-shirt 44,3312320.0,3.0,3,XL,Women,2026-03-14 00:25:39.053738
Hoodie 45,8693120.0,4.5,3,XXL,Unisex,2026-03-14 00:25:39.053834
Outerwear 47,6364640.0,3.2,3,M,Women,2026-03-14 00:25:39.054038
Jacket 48,4994720.0,3.4,3,L,Unisex,2026-03-14 00:25:39.054133
Crewneck 49,1071200.0,4.0,3,XL,Men,2026-03-14 00:25:39.054229
T-shirt 50,5932960.0,3.1,3,XXL,Women,2026-03-14 00:25:39.054332
Pants 52,1596480.0,4.0,3,M,Men,2026-03-14 00:25:39.054533
Outerwear 53,4470880.0,4.3,3,L,Women,2026-03-14 00:25:39.054628
Jacket 54,854560.0,4.2,3,XL,Unisex,2026-03-14 00:25:39.054735
Crewneck 55,1793760.0,3.6,3,XXL,Men,2026-03-14 00:25:39.054865
T-shirt 56,4643040.0,3.8,3,S,Women,2026-03-14 00:25:39.054981
Hoodie 57,3155360.0,4.9,3,M,Unisex,2026-03-14 00:25:39.055323
Pants 58,1637760.0,4.4,3,L,Men,2026-03-14 00:25:39.055630
Outerwear 59,2254240.0,4.6,3,XL,Women,2026-03-14 00:25:39.055948
Jacket 60,3375520.0,4.2,3,XXL,Unisex,2026-03-14 00:25:39.056286
T-shirt 62,1376480.0,3.8,3,M,Women,2026-03-14 00:25:41.396228
Hoodie 63,6479200.0,3.6,3,L,Unisex,2026-03-14 00:25:41.396455
Pants 64,7728480.0,4.0,3,XL,Men,2026-03-14 00:25:41.396670
Outerwear 65,2385920.0,4.1,3,XXL,Women,2026-03-14 00:25:41.396887
Jacket 66,4353120.0,3.5,3,S,Unisex,2026-03-14 00:25:41.397216
Crewneck 67,8470720.0,3.5,3,M,Men,2026-03-14 00:25:41.397505
T-shirt 68,8025280.0,4.0,3,L,Women,2026-03-14 00:25:41.397780
Hoodie 69,1027839.9999999999,3.6,3,XL,Unisex,2026-03-14 00:25:41.398083
Pants 70,1171360.0,4.4,3,XXL,Men,2026-03-14 00:25:41.398343
Jacket 72,3776000.0,4.4,3,M,Unisex,2026-03-14 00:25:41.398781
Crewneck 73,2460320.0,3.0,3,L,Men,2026-03-14 00:25:41.398945
T-shirt 74,7704800.0,3.8,3,XL,Women,2026-03-14 00:25:41.399193
Hoodie 75,2101760.0,4.3,3,XXL,Unisex,2026-03-14 00:25:41.399374
Outerwear 77,861760.0,3.7,3,M,Women,2026-03-14 00:25:41.399700
Jacket 78,2716480.0,4.3,3,L,Unisex,2026-03-14 00:25:41.399854
Crewneck 79,3309600.0,4.6,3,XL,Men,2026-03-14 00:25:41.400022
T-shirt 80,4178399.9999999995,4.5,3,XXL,Women,2026-03-14 00:25:41.400172
Pants 82,8315520.0,4.8,3,M,Men,2026-03-14 00:25:43.682312
Outerwear 83,3947840.0,3.7,3,L,Women,2026-03-14 00:25:43.682618
Jacket 84,2826080.0,4.8,3,XL,Unisex,2026-03-14 00:25:43.682898
Crewneck 85,4564160.0,3.5,3,XXL,Men,2026-03-14 00:25:43.683185
T-shirt 86,1670880.0,3.9,3,S,Women,2026-03-14 00:25:43.683431
Hoodie 87,7870240.0,4.3,3,M,Unisex,2026-03-14 00:25:43.683671
Pants 88,7590400.0,3.1,3,L,Men,2026-03-14 00:25:43.683922
Outerwear 89,4856320.0,3.0,3,XL,Women,2026-03-14 00:25:43.684213
Jacket 90,7160000.0,4.0,3,XXL,Unisex,2026-03-14 00:25:43.684453
T-shirt 92,5012320.0,3.5,3,M,Women,2026-03-14 00:25:43.684966
Hoodie 93,1365280.0,3.6,3,L,Unisex,2026-03-14 00:25:43.685284
Pants 94,1074880.0,4.3,3,XL,Men,2026-03-14 00:25:43.685590
Outerwear 95,6062240.0,3.5,3,XXL,Women,2026-03-14 00:25:43.685890
Jacket 96,4598240.0,4.9,3,S,Unisex,2026-03-14 00:25:43.686216
Crewneck 97,6113120.0,3.9,3,M,Men,2026-03-14 00:25:43.686467
T-shirt 98,8596960.0,3.1,3,L,Women,2026-03-14 00:25:43.686734
